hr	hc	α	c	v	r	z	pd	w	obj	status
3.5	1.5	0.1	2.0	0.3	0.5	-0.03453288394267695	11.164149608502488	2.7787867518272273	18.942467534994655	LOCALLY_SOLVED
4.0	1.5	0.1	2.0	0.3	0.5	-0.030411903020156353	11.18508310929963	2.747947419692467	18.81094692559292	LOCALLY_SOLVED
3.0	0.5	0.15	2.0	0.3	0.5	-0.025918625305701708	11.255623471841421	2.7290628522058245	18.888188757758826	LOCALLY_SOLVED
3.5	0.5	0.15	2.0	0.3	0.5	-0.019596784013866796	11.287252283907618	2.6829976176516643	18.691333691761688	LOCALLY_SOLVED
4.0	0.5	0.15	2.0	0.3	0.5	-0.01316557218743404	11.319062169304882	2.637083935276942	18.4954844122924	LOCALLY_SOLVED
3.0	1.0	0.15	2.0	0.3	0.5	-0.026243341312901024	11.206093499082556	2.7171717064969454	18.67987837756993	LOCALLY_SOLVED
3.5	1.0	0.15	2.0	0.3	0.5	-0.019900134390860726	11.237756929425888	2.6711311552864068	18.484118433530004	LOCALLY_SOLVED
4.0	1.0	0.15	2.0	0.3	0.5	-0.013446923120472873	11.269602959420304	2.6252435148332935	18.289363136077085	LOCALLY_SOLVED
3.0	1.5	0.15	2.0	0.3	0.5	-0.02657286549795902	11.156565982845487	2.705285117882298	18.47269517466089	LOCALLY_SOLVED
3.5	1.5	0.15	2.0	0.3	0.5	-0.020208202634837684	11.188264330633007	2.6592694924503837	18.278030132997404	LOCALLY_SOLVED
4.0	1.5	0.15	2.0	0.3	0.5	-0.013732898440962671	11.220146821548994	2.613408152670143	18.084368585188532	LOCALLY_SOLVED
3.0	0.5	0.1	1.0	0.4	0.5	0.08809599658376246	10.889705266366976	2.4546154562516733	22.76319335733966	LOCALLY_SOLVED
3.5	0.5	0.1	1.0	0.4	0.5	0.09329904763305392	10.910963640594689	2.423902519141171	22.6224013892849	LOCALLY_SOLVED
4.0	0.5	0.1	1.0	0.4	0.5	0.09856388012038785	10.932307805008692	2.393263446305275	22.48206994955371	LOCALLY_SOLVED
3.0	1.0	0.1	1.0	0.4	0.5	0.08829640203824389	10.856781807319118	2.4466158595142047	22.612224330940183	LOCALLY_SOLVED
3.5	1.0	0.1	1.0	0.4	0.5	0.09351527332097394	10.878057816981576	2.4159150169195645	22.471922958179242	LOCALLY_SOLVED
4.0	1.0	0.1	1.0	0.4	0.5	0.09879622232405541	10.8994201305403	2.385288515727255	22.332081778466904	LOCALLY_SOLVED
3.0	1.5	0.1	1.0	0.4	0.5	0.08849755566444027	10.82386058748703	2.438618234576548	22.46175454374098	LOCALLY_SOLVED
3.5	1.5	0.1	1.0	0.4	0.5	0.09373233207750993	10.845154350447515	2.4079295766811946	22.321943701490813	LOCALLY_SOLVED
4.0	1.5	0.1	1.0	0.4	0.5	0.09902948425387284	10.86653493521352	2.37731574151432	22.182592713810344	LOCALLY_SOLVED
3.0	0.5	0.15	1.0	0.4	0.5	0.10401544267868656	10.937304843771265	2.3587190785542362	22.26738494688176	LOCALLY_SOLVED
